Ignition rate,Success Rate
0.00,1.0
0.05,0.6
0.1,0.55
0.15000000000000002,0.5
0.20000000000000001,0.2
0.25000000000000000,0.1
0.35,0.0
0.40,0.0
0.45,0.0
0.50,0.0
0.55,0.0
0.60,0.0
0.65,0.0
0.70,0.0
0.75,0.0
0.80,0.0
0.85,0.0
0.90,0.0
0.95,0.0
1.0,0
